REGION,EMISSION,YEAR,VALUE
SIMPLICITY,CO2,2014,0.23212042
SIMPLICITY,CO2,2015,0.23327368
SIMPLICITY,CO2,2016,0.23841095
SIMPLICITY,CO2,2017,0.24554021
SIMPLICITY,CO2,2018,0.29078597
SIMPLICITY,CO2,2019,0.31163421
SIMPLICITY,CO2,2020,0.33216792
SIMPLICITY,CO2,2021,0.36631576
SIMPLICITY,CO2,2022,0.38255861
SIMPLICITY,CO2,2023,0.41189139
SIMPLICITY,CO2,2024,0.42519866
SIMPLICITY,CO2,2025,0.43661878
SIMPLICITY,CO2,2026,0.45453144
SIMPLICITY,CO2,2027,0.47296831
SIMPLICITY,CO2,2028,0.48585622
SIMPLICITY,CO2,2029,0.49704875
SIMPLICITY,CO2,2030,0.2
SIMPLICITY,CO2,2031,0.18
SIMPLICITY,CO2,2032,0.16
SIMPLICITY,CO2,2033,0.14
SIMPLICITY,CO2,2034,0.12
SIMPLICITY,CO2,2035,0.1
SIMPLICITY,CO2,2036,0.09
SIMPLICITY,CO2,2037,0.08
SIMPLICITY,CO2,2038,0.07
SIMPLICITY,CO2,2039,0.06
SIMPLICITY,CO2,2040,0.05
