REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
SIMPLICITY,ID,GasExtraction,1,GAS,2015,2.8385727000000003
SIMPLICITY,ID,NGCC2,1,SEC_EL,2015,1.6776433999999998
SIMPLICITY,ID,TD,1,FEL,2015,1.5937612299999997
SIMPLICITY,IN,GasExtraction,1,GAS,2015,3.7870352999999994
SIMPLICITY,IN,NGCC2,1,SEC_EL,2015,2.2382005
SIMPLICITY,IN,TD,1,FEL,2015,2.126290475
SIMPLICITY,SD,GasExtraction,1,GAS,2015,3.5482157999999995
SIMPLICITY,SD,NGCC2,1,SEC_EL,2015,2.0970543
SIMPLICITY,SD,TD,1,FEL,2015,1.9922015849999999
SIMPLICITY,SN,GasExtraction,1,GAS,2015,2.3668971
SIMPLICITY,SN,NGCC2,1,SEC_EL,2015,1.3988753
SIMPLICITY,SN,TD,1,FEL,2015,1.328931535
SIMPLICITY,WD,GasExtraction,1,GAS,2015,4.7323739
SIMPLICITY,WD,NGCC2,1,SEC_EL,2015,2.7969112999999997
SIMPLICITY,WD,TD,1,FEL,2015,2.6570657349999998
SIMPLICITY,WN,GasExtraction,1,GAS,2015,4.7309544
SIMPLICITY,WN,NGCC2,1,SEC_EL,2015,2.7960724
SIMPLICITY,WN,TD,1,FEL,2015,2.65626878
